,datetime,title,link
31,2024-07-25T16:26:43-03:00,Buglê completa 80 anos,/noticias/bugle-completa-80-anos-397379.html
32,2024-07-25T15:41:02-03:00,Vasco e 777 dão entrada em pedido de suspensão da ação na Justiça,/noticias/vasco-e-777-dao-entrada-em-pedido-de-suspensao-da-acao-na-justica-397377.html
33,2024-07-25T15:24:09-03:00,Grupo City acerta venda de Arthur Sales; veja quanto o Vasco receberá,/noticias/grupo-city-acerta-venda-de-arthur-sales-veja-quanto-o-vasco-recebera-397375.html
34,2024-07-25T15:02:49-03:00,"Pedrinho avalia empréstimo de Serginho ao Criciúma, diz site",/noticias/pedrinho-avalia-emprestimo-de-serginho-ao-criciuma-diz-site-397372.html
35,2024-07-25T14:07:53-03:00,Boa relação de Pedrinho com rivais facilitou o local de Vasco x Fluminense,/noticias/boa-relacao-de-pedrinho-com-rivais-facilitou-o-local-de-vasco-x-fluminense-397370.html
36,2024-07-25T13:43:20-03:00,Gastos indevidos faz o Vasco precisar ser pontual nas próximas contratações,/noticias/gastos-indevidos-faz-o-vasco-precisar-ser-pontual-nas-proximas-contratacoes-397369.html
37,2024-07-25T13:27:11-03:00,"Altos valores envolvendo Mina afastaram o Vasco da negociação, diz ge",/noticias/altos-valores-envolvendo-mina-afastaram-o-vasco-da-negociacao-diz-ge-397368.html
38,2024-07-25T13:00:45-03:00,Paulo Henrique e Bruno Lopes são os aniversariantes do dia,/noticias/paulo-henrique-e-bruno-lopes-sao-os-aniversariantes-do-dia-397364.html
39,2024-07-25T08:50:01-03:00,Hugo Moura se emociona: 'Quero virar ídolo vestindo essa camisa',/noticias/hugo-moura-se-emociona-quero-virar-idolo-vestindo-essa-camisa-397353.html
40,2024-07-25T08:16:41-03:00,Adidas pode ser a nova fornecedora do Vasco? Edmundo traz detalhes,/noticias/adidas-pode-ser-a-nova-fornecedora-do-vasco-edmundo-traz-detalhes-397352.html
41,2024-07-25T08:09:31-03:00,O que pode fazer com que Souza não seja relacionado contra o Grêmio,/noticias/o-que-pode-fazer-com-que-souza-nao-seja-relacionado-contra-o-gremio-397349.html
42,2024-07-24T20:01:22-03:00,VascoTV: Treino Feminino no CT Moacyr Barbosa 24.7,/noticias/vascotv-treino-feminino-no-ct-moacyr-barbosa-247-397344.html
43,2024-07-24T17:39:31-03:00,Vasco cobra R$ 30 milhões de Ramón Díaz na Justiça,/noticias/vasco-cobra-r-30-milhoes-de-ramon-diaz-na-justica-397338.html
44,2024-07-24T17:23:17-03:00,Volante não é prioridade: Vasco busca reforços no mercado,/noticias/volante-nao-e-prioridade-vasco-busca-reforcos-no-mercado-397337.html
45,2024-07-24T16:48:15-03:00,Universidad Católica negocia empréstimo de Galdames com o Vasco,/noticias/universidad-catolica-negocia-emprestimo-de-galdames-com-o-vasco-397336.html
46,2024-07-24T16:30:04-03:00,Fotos do treino de hoje (24),/noticias/fotos-do-treino-de-hoje-24-4-397334.html
47,2024-07-24T14:57:08-03:00,Trio deve ficar à disposição de Rafael Paiva para o jogo contra o Grêmio,/noticias/trio-deve-ficar-a-disposicao-de-rafael-paiva-para-o-jogo-contra-o-gremio-397331.html
48,2024-07-24T14:49:42-03:00,"Euriquinho, via Instagram: 'Mina vindo aí! Vamos com tudo.'",/noticias/euriquinho-via-instagram-mina-vindo-ai-vamos-com-tudo-397330.html
